keys,en
HUD_CONTROLS,"WASD MOVE   MOUSE ORBIT   SPACE JUMP   SHIFT SPRINT   E RIDE   ESC RELEASE"
HUD_WELCOME,"WELCOME TO PRIMITIVE PARK"
HUD_LOCATION,"NOW VISITING: {name}"
HUD_RIDE_AVAILABLE,"E RIDE: {name}"
HUD_RIDE_WAITING,"WAITING FOR {name}..."
HUD_RIDE_RUNNING,"RIDING {name}"
HUD_KART_CONTROLS,"W ACCELERATE   S BRAKE/REVERSE   A/D STEER   R RESET   E EXIT"
HUD_KART_COUNTDOWN,"GET READY — {seconds}"
HUD_KART_RACE,"LAP {lap}/{laps}   TIME {time}\nBEST {best}"
HUD_KART_FINISH,"FINISH! {time}\nBEST {best}"
HUD_FREE_FALL_ASCENDING,"FREE FALL — ASCENDING"
HUD_FREE_FALL_SUSPENSE,"FREE FALL — HOLD ON..."
HUD_FREE_FALL_DROPPING,"FREE FALL — DROP!"
HUD_FREE_FALL_SETTLING,"FREE FALL — SETTLING"
